metric_id,dataset,model,metric,value,units,population,source_file,source_column,status,report_section,destination,notes
INV-m5-CROSTON-sl,m5,CROSTON,service_level,0.939116,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=5.52 reorders=10.56
INV-m5-DES-cost,m5,DES,total_cost,268.804928,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=235.35 short=33.46
INV-m5-DES-sl,m5,DES,service_level,0.898821,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=8.41 reorders=15.19
INV-m5-LSTM-cost,m5,LSTM,total_cost,152.832676,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=130.04 short=22.80
INV-m5-LSTM-sl,m5,LSTM,service_level,0.928277,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=4.64 reorders=15.14
INV-m5-Moving Average-cost,m5,Moving Average,total_cost,158.825486,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=136.30 short=22.52
INV-m5-Moving Average-sl,m5,Moving Average,service_level,0.930482,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=4.87 reorders=10.38
INV-m5-Naive-cost,m5,Naive,total_cost,200.752722,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=158.25 short=42.50
INV-m5-Naive-sl,m5,Naive,service_level,0.87167,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=5.65 reorders=9.29
INV-m5-SBA-cost,m5,SBA,total_cost,160.657335,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=128.39 short=32.27
